type: diccionario
content:
kamensta_espanol:
entrada: aa, tipo: interj., significados: definicion: expresa decepción o desencanto, ejemplo: ¡ay, no!, referencia: V. acbén, definicion: expresión que denota asombro o extrañeza, ejemplo: ¡qué cosa!, referencia: V. aua
entrada: ababiayá, tipo: s., significados: definicion: bañador(ra) de varios, ejemplo: bañador(ra), referencia: V. bebiayá
entrada: ababuanÿeshaná, tipo: adj./s., significados: definicion: quien ama a muchos, ejemplo: amoroso(sa), referencia: V. bobonshaná
entrada: abacayá, tipo: adj./s., significados: definicion: despojador(ra) de varios, ejemplo: despojador(ra), referencia: V. bocayá
entrada: abajtoyá, tipo: adj./s., significados: definicion: aplicado a la persona que se apropia de lo ajeno, ejemplo: ladrón(ona) (metáfora), referencia: Lit. aquel que raspa
entrada: abaná, tipo: adj./s., significados: definicion: quien toca o acaricia a varios, ejemplo: tocador(ra) (reg.), referencia: V. baná
entrada: ainán, tipo: s., significados: definicion: órgano motor de la vida, ejemplo: corazón, referencia: Lit. lo que tiene vida o está vivo
entrada: bejay, tipo: s., significados: definicion: líquido incoloro vital para el hombre, estático o en movimiento, ejemplo: agua, quebrada, riachuelo, río, referencia: Sinón. buyesh
entrada: buiñ, tipo: s., significados: definicion: líquido rojo que corre por las venas del cuerpo, ejemplo: sangre, referencia:
entrada: abatëmbayá, tipo: adj./s., significados: definicion: persona que acostumbra a golpear a varios, ejemplo: golpeador(ra), referencia: V. botëmbayá
entrada: abayá, tipo: adj./s., significados: definicion: quien lleva o transporta a varios, ejemplo: transportador(ra), referencia: V. boyá
entrada: abentsá, tipo: adj./s., significados: definicion: persona que pertenece a la etnia kamëntsá, ejemplo: kamëntsá, referencia: Sinón. kamëntsá
entrada: abjatená, tipo: adj./s., significados: definicion: persona que acostumbra a repartir o distribuir, ejemplo: repartidor(ra), referencia: V. bojaténa
entrada: abuatambayá, tipo: adj./s., significados: definicion: persona que acostumbra a engañar a varios, ejemplo: engañador(ra), referencia: V. buatambayá
entrada: achëjuaná, tipo: adj./s., significados: definicion: persona que acostumbra a mentir, ejemplo: mentiroso(sa), referencia: V. bochëjuaná
entrada: basetem, tipo: s., significados: definicion: ser humano de corta edad, ejemplo: niño(a), referencia: V. basetém
entrada: batá, tipo: s., significados: definicion: progenitora, ejemplo: madre, mamá, referencia: V. bebmá
entrada: bebmá, tipo: s., significados: definicion: progenitor, ejemplo: padre, papá, referencia: V. taitá
entrada: bëngbe, tipo: adj.pos., significados: definicion: perteneciente o relativo a nosotros, ejemplo: nuestro(a), referencia: V. bëng
entrada: bëtsá, tipo: adj., significados: definicion: de gran tamaño, ejemplo: grande, referencia: V. bëts, definicion: ser supremo, ejemplo: Dios, referencia: V. Bëngbe Bëtsá
entrada: binÿia, tipo: s., significados: definicion: astro luminoso, centro de nuestro sistema planetario, ejemplo: sol, referencia:
entrada: bobonshá, tipo: adj./s., significados: definicion: persona que ama, ejemplo: amante, referencia: V. bonshá
entrada: bochëjuaná, tipo: adj./s., significados: definicion: persona que dice mentiras, ejemplo: mentiroso(sa), referencia: V. achëjuaná
entrada: bonshá, tipo: adj./s., significados: definicion: persona que ama o quiere, ejemplo: amante, referencia: V. bobonshá
entrada: buyesh, tipo: s., significados: definicion: líquido vital para el ser humano, ejemplo: agua, referencia: Sinón. bejay
entrada: kamëntsá, tipo: adj./s., significados: definicion: persona perteneciente a la etnia kamëntsá, ejemplo: kamëntsá, referencia: Sinón. abentsá
entrada: canÿe, tipo: num., significados: definicion: número cardinal, ejemplo: uno, referencia:
entrada: cha, tipo: pron., significados: definicion: pronombre personal de tercera persona singular, ejemplo: él, ella, referencia:
entrada: chat, tipo: pron., significados: definicion: pronombre personal de tercera persona dual, ejemplo: ellos, ellas (dos), referencia: V. cha
entrada: chëng, tipo: pron., significados: definicion: pronombre personal de tercera persona plural, ejemplo: ellos, ellas (varios), referencia: V. cha
entrada: chembá, tipo: s., significados: definicion: satélite natural de la Tierra, ejemplo: luna, referencia:
entrada: chenÿá, tipo: s., significados: definicion: órgano de la visión, ejemplo: ojo, referencia: V. fsn̈ëbé
entrada: chëtsá̈, tipo: adv., significados: definicion: de esta manera, de este modo, ejemplo: así, referencia:
entrada: fsantsá, tipo: s., significados: definicion: superficie sobre la que vivimos, ejemplo: tierra, suelo, referencia:
entrada: fsëntsá̈, tipo: s., significados: definicion: parte del cuerpo que une la cabeza con el tronco, ejemplo: cuello, referencia:
entrada: fsn̈ëbé, tipo: s., significados: definicion: órgano de la visión, ejemplo: ojo, referencia: V. chenÿá
entrada: ftsenëng, tipo: s., significados: definicion: conjunto de dientes, ejemplo: dentadura, referencia:
entrada: jabuachán, tipo: v.t., significados: definicion: acción de traer algo, ejemplo: traer, referencia:
